"","word","count","sentiment","n"
"938","subjugate",1,"negative",1
"939","subversion",4,"negative",1
"940","subversive",1,"negative",1
"941","subvert",1,"negative",1
"942","succeed",4,"positive",1
"943","succeeded",2,"positive",1
"944","succeeding",1,"positive",1
"945","success",5,"positive",1
"946","successful",4,"positive",1
"947","successfully",1,"positive",1
"948","suck",4,"negative",1
"949","sucked",1,"negative",1
"950","sue",1,"negative",1
"951","suffer",5,"negative",1
"952","suffered",1,"negative",1
"953","suffering",1,"negative",1
"954","suffers",1,"negative",1
"955","suicidal",3,"negative",1
"956","suicide",4,"negative",1
"957","super",11,"positive",1
"958","superior",3,"positive",1
"959","support",10,"positive",1
"960","supported",4,"positive",1
"961","supporter",3,"positive",1
"962","supporting",2,"positive",1
"963","supports",2,"positive",1
"964","suppression",1,"negative",1
"965","supreme",4,"positive",1
"966","surpass",1,"positive",1
"967","survival",1,"positive",1
"968","sweaty",1,"negative",1
"969","sweet",1,"positive",1
"970","swift",1,"positive",1
"971","symptoms",1,"negative",1
"972","syndrome",1,"negative",1
"973","tacky",1,"negative",1
"974","tank",1,"negative",1
"975","tanks",2,"negative",1
"976","tense",1,"negative",1
"977","tension",1,"negative",1
"978","terrible",4,"negative",1
"979","terror",3,"negative",1
"980","terrorism",5,"negative",1
"981","thank",11,"positive",1
"982","threat",11,"negative",1
"983","threatening",3,"negative",1
"984","threats",1,"negative",1
"985","tired",1,"negative",1
"986","togetherness",1,"positive",1
"987","top",14,"positive",1
"988","topple",2,"negative",1
"989","torture",6,"negative",1
"990","tortured",1,"negative",1
"991","tragedy",2,"negative",1
"992","tragic",1,"negative",1
"993","tragically",1,"negative",1
"994","traitor",2,"negative",1
"995","trample",2,"negative",1
"996","trash",1,"negative",1
"997","trashed",1,"negative",1
"998","treachery",1,"negative",1
"999","treason",1,"negative",1
"1000","treasure",1,"positive",1
"1001","trick",2,"negative",1
"1002","trivial",1,"negative",1
"1003","trophy",1,"positive",1
"1004","trouble",6,"negative",1
"1005","troublesome",1,"negative",1
"1006","troubling",1,"negative",1
"1007","trump",3760,"positive",1
"1008","trumpet",2,"positive",1
"1009","trust",5,"positive",1
"1010","trusted",1,"positive",1
"1011","tumble",1,"negative",1
"1012","turmoil",1,"negative",1
"1013","tyranny",5,"negative",1
"1014","tyrant",4,"negative",1
"1015","ugh",2,"negative",1
"1016","ugly",1,"negative",1
"1017","unable",2,"negative",1
"1018","unacceptably",1,"negative",1
"1019","unassailable",1,"positive",1
"1020","unattractive",1,"negative",1
"1021","unbelievable",2,"negative",1
"1022","unbiased",1,"positive",1
"1023","uncomfortably",1,"negative",1
"1024","unconfirmed",1,"negative",1
"1025","unconstitutional",1,"negative",1
"1026","uncontrolled",1,"negative",1
"1027","underestimate",2,"negative",1
"1028","undermines",1,"negative",1
"1029","undermining",1,"negative",1
"1030","undisputed",1,"positive",1
"1031","unemployed",1,"negative",1
"1032","unequal",2,"negative",1
"1033","unfortunately",1,"negative",1
"1034","ungrateful",2,"negative",1
"1035","unhappy",1,"negative",1
"1036","uninformed",1,"negative",1
"1037","unity",1,"positive",1
"1038","unnecessary",1,"negative",1
"1039","unpredictable",1,"negative",1
"1040","unravel",1,"negative",1
"1041","unresponsive",1,"negative",1
"1042","unrest",1,"negative",1
"1043","unsecure",1,"negative",1
"1044","unskilled",1,"negative",1
"1045","unstable",1,"negative",1
"1046","unsustainable",2,"negative",1
"1047","uphold",1,"positive",1
"1048","uprising",1,"negative",1
"1049","upset",1,"negative",1
"1050","useful",1,"positive",1
"1051","useless",4,"negative",1
"1052","utterly",1,"negative",1
"1053","valuable",1,"positive",1
"1054","vanity",1,"negative",1
"1055","vice",1,"negative",1
"1056","victorious",1,"positive",1
"1057","victory",6,"positive",1
"1058","vile",2,"negative",1
"1059","violently",2,"negative",1
"1060","virtue",1,"positive",1
"1061","vivid",1,"positive",1
"1062","volatile",1,"negative",1
"1063","wane",1,"negative",1
"1064","waning",1,"negative",1
"1065","warmer",2,"positive",1
"1066","warned",1,"negative",1
"1067","warning",2,"negative",1
"1068","warp",1,"negative",1
"1069","waste",2,"negative",1
"1070","weak",6,"negative",1
"1071","weaken",3,"negative",1
"1072","weaker",1,"negative",1
"1073","weakness",1,"negative",1
"1074","wealthy",6,"positive",1
"1075","weed",1,"negative",1
"1076","weep",2,"negative",1
"1077","weird",7,"negative",1
"1078","weirdly",1,"negative",1
"1079","welcome",10,"positive",1
"1080","well",68,"positive",1
"1081","whore",2,"negative",1
"1082","wickedness",1,"negative",1
"1083","wild",7,"negative",1
"1084","willing",3,"positive",1
"1085","win",26,"positive",1
"1086","winner",4,"positive",1
"1087","winners",2,"positive",1
"1088","winning",3,"positive",1
"1089","wins",29,"positive",1
"1090","wise",4,"positive",1
"1091","won",11,"positive",1
"1092","wonder",37,"positive",1
"1093","wonderful",1,"positive",1
"1094","work",61,"positive",1
"1095","worked",25,"positive",1
"1096","works",2,"positive",1
"1097","worried",6,"negative",1
"1098","worries",1,"negative",1
"1099","worry",4,"negative",1
"1100","worrying",1,"negative",1
"1101","worse",23,"negative",1
"1102","worst",7,"negative",1
"1103","worth",7,"positive",1
"1104","worthless",2,"negative",1
"1105","wound",1,"negative",1
"1106","wow",14,"positive",1
"1107","wrath",1,"negative",1
"1108","wretchedness",1,"negative",1
"1109","wrong",13,"negative",1
"1110","wrought",1,"negative",1
"1111","yay",1,"positive",1
"1112","zombie",2,"negative",1
